Node_1,Node_2,Distance
0,0,0
0,1,0
0,2,95
0,3,79
0,4,95
0,5,79
0,6,189
0,7,189
0,8,284
0,9,284
0,10,378
0,11,378
1,1,0
1,2,95
1,3,79
1,4,95
1,5,79
1,6,189
1,7,189
1,8,284
1,9,284
1,10,378
1,11,378
2,2,0
2,3,172
2,4,0
2,5,172
2,6,95
2,7,95
2,8,189
2,9,189
2,10,283
2,11,283
3,3,0
3,4,172
3,5,0
3,6,266
3,7,266
3,8,361
3,9,361
3,10,454
3,11,454
3,12,95
3,13,95
3,14,189
3,15,189
3,16,283
3,17,283
3,18,357
3,19,357
3,20,378
3,21,378
3,26,473
3,28,473
3,41,567
3,42,567
3,53,662
3,54,662
3,68,756
3,70,756
3,82,824
3,83,824
3,88,850
3,90,851
3,121,945
3,123,945
3,148,1040
3,149,1040
3,185,1135
3,187,1135
3,218,1228
3,219,1228
3,236,1302
3,239,1302
3,241,1303
3,243,1303
3,262,1390
3,263,1390
3,295,1485
3,298,1485
3,322,1565
3,324,1565
3,325,1564
3,327,1564
4,4,0
4,5,172
4,6,95
4,7,95
4,8,189
4,9,189
4,10,283
4,11,283
5,5,0
5,6,266
5,7,266
5,8,361
5,9,361
5,10,454
5,11,454
5,12,95
5,13,95
5,14,189
5,15,189
5,16,283
5,17,283
5,18,357
5,19,357
5,20,378
5,21,378
5,26,473
5,28,473
5,41,567
5,42,567
5,53,662
5,54,662
5,68,756
5,70,756
5,82,824
5,83,824
5,88,850
5,90,851
5,121,945
5,123,945
5,148,1040
5,149,1040
5,185,1135
5,187,1135
5,218,1228
5,219,1228
5,236,1302
5,239,1302
5,241,1303
5,243,1303
5,262,1390
5,263,1390
5,295,1485
5,298,1485
5,322,1565
5,324,1565
5,325,1564
5,327,1564
6,6,0
6,7,0
6,8,95
6,9,95
6,10,188
6,11,188
7,7,0
7,8,95
7,9,95
7,10,188
7,11,188
8,8,0
8,9,0
8,10,94
8,11,94
9,9,0
9,10,94
9,11,94
10,10,0
10,11,0
11,11,0
12,12,0
12,13,0
12,14,95
12,15,95
12,16,189
12,17,189
12,18,262
12,19,262
12,20,283
12,21,283
12,26,378
12,28,378
12,41,472
12,42,472
12,53,567
12,54,567
12,68,662
12,70,662
12,82,729
12,83,729
12,88,755
12,90,756
12,121,850
12,123,850
12,148,945
12,149,945
12,185,1040
12,187,1040
12,218,1134
12,219,1133
12,236,1207
12,239,1207
12,241,1208
12,243,1208
12,262,1295
12,263,1295
12,295,1390
12,298,1390
12,322,1470
12,324,1470
12,325,1469
12,327,1469
13,13,0
13,14,95
13,15,95
13,16,189
13,17,189
13,18,262
13,19,262
13,20,283
13,21,283
13,26,378
13,28,378
13,41,472
13,42,472
13,53,567
13,54,567
13,68,662
13,70,662
13,82,729
13,83,729
13,88,755
13,90,756
13,121,850
13,123,850
13,148,945
13,149,945
13,185,1040
13,187,1040
13,218,1134
13,219,1133
13,236,1207
13,239,1207
13,241,1208
13,243,1208
13,262,1295
13,263,1295
13,295,1390
13,298,1390
13,322,1470
13,324,1470
13,325,1469
13,327,1469
14,14,0
14,15,0
14,16,94
14,17,94
14,18,167
14,19,167
14,20,189
14,21,189
14,26,283
14,28,283
14,41,377
14,42,377
14,53,472
14,54,472
14,68,567
14,70,567
14,82,634
14,83,634
14,88,661
14,90,662
14,121,756
14,123,756
14,148,850
14,149,850
14,185,945
14,187,945
14,218,1039
14,219,1039
14,236,1113
14,239,1113
14,241,1113
14,243,1113
14,262,1201
14,263,1201
14,295,1295
14,298,1295
14,322,1375
14,324,1375
14,325,1375
14,327,1375
15,15,0
15,16,94
15,17,94
15,18,167
15,19,167
15,20,189
15,21,189
15,26,283
15,28,283
15,41,377
15,42,377
15,53,472
15,54,472
15,68,567
15,70,567
15,82,634
15,83,634
15,88,661
15,90,662
15,121,756
15,123,756
15,148,850
15,149,850
15,185,945
15,187,945
15,218,1039
15,219,1039
15,236,1113
15,239,1113
15,241,1113
15,243,1113
15,262,1201
15,263,1201
15,295,1295
15,298,1295
15,322,1375
15,324,1375
15,325,1375
15,327,1375
16,16,0
16,17,0
16,18,73
16,19,73
16,20,95
16,21,95
16,26,189
16,28,189
16,41,283
16,42,283
16,53,378
16,54,378
16,68,473
16,70,473
16,82,540
16,83,540
16,88,567
16,90,568
16,121,662
16,123,662
16,148,756
16,149,756
16,185,851
16,187,851
16,218,945
16,219,945
16,236,1019
16,239,1019
16,241,1019
16,243,1019
16,262,1107
16,263,1107
16,295,1201
16,298,1201
16,322,1281
16,324,1281
16,325,1281
16,327,1281
17,17,0
17,18,73
17,19,73
17,20,95
17,21,95
17,26,189
17,28,189
17,41,283
17,42,283
17,53,378
17,54,378
17,68,473
17,70,473
17,82,540
17,83,540
17,88,567
17,90,568
17,121,662
17,123,662
17,148,756
17,149,756
17,185,851
17,187,851
17,218,945
17,219,945
17,236,1019
17,239,1019
17,241,1019
17,243,1019
17,262,1107
17,263,1107
17,295,1201
17,298,1201
17,322,1281
17,324,1281
17,325,1281
17,327,1281
18,18,0
18,19,0
18,20,22
18,21,22
18,22,95
18,23,95
18,24,188
18,25,189
18,26,116
18,27,283
18,28,116
18,29,283
18,34,378
18,35,378
18,38,472
18,40,472
18,41,210
18,42,210
18,43,567
18,44,567
18,49,661
18,50,661
18,53,305
18,54,305
18,55,755
18,56,756
18,62,849
18,64,851
18,67,944
18,68,400
18,69,944
18,70,400
18,75,1042
18,82,467
18,83,467
18,88,493
18,90,494
18,121,588
18,123,588
18,148,683
18,149,683
18,185,778
18,187,778
18,218,872
18,219,871
18,236,945
18,239,945
18,241,946
18,243,946
18,262,1033
18,263,1033
18,295,1128
18,298,1128
18,322,1208
18,324,1208
18,325,1208
18,327,1208
19,19,0
19,20,22
19,21,22
19,22,95
19,23,95
19,24,188
19,25,189
19,26,116
19,27,283
19,28,116
19,29,283
19,34,378
19,35,378
19,38,472
19,40,472
19,41,210
19,42,210
19,43,567
19,44,567
19,49,661
19,50,661
19,53,305
19,54,305
19,55,755
19,56,756
19,62,849
19,64,851
19,67,944
19,68,400
19,69,944
19,70,400
19,75,1042
19,82,467
19,83,467
19,88,493
19,90,494
19,121,588
19,123,588
19,148,683
19,149,683
19,185,778
19,187,778
19,218,872
19,219,871
19,236,945
19,239,945
19,241,946
19,243,946
19,262,1033
19,263,1033
19,295,1128
19,298,1128
19,322,1208
19,324,1208
19,325,1208
19,327,1208
20,20,0
20,21,0
20,22,97
20,23,97
20,24,189
20,25,190
20,26,95
20,27,283
20,28,95
20,29,283
20,34,378
20,35,378
20,38,472
20,40,472
20,41,189
20,42,189
20,43,567
20,44,567
20,49,661
20,50,661
20,53,283
20,54,283
20,55,755
20,56,756
20,62,849
20,64,850
20,67,944
20,68,378
20,69,944
20,70,378
20,75,1042
20,82,445
20,83,445
20,88,472
20,90,473
20,121,567
20,123,567
20,148,661
20,149,661
20,185,756
20,187,756
20,218,850
20,219,850
20,236,924
20,239,924
20,241,924
20,243,924
20,262,1012
20,263,1012
20,295,1107
20,298,1107
20,322,1186
20,324,1186
20,325,1186
20,327,1186
21,21,0
21,22,97
21,23,97
21,24,189
21,25,190
21,26,95
21,27,283
21,28,95
21,29,283
21,34,378
21,35,378
21,38,472
21,40,472
21,41,189
21,42,189
21,43,567
21,44,567
21,49,661
21,50,661
21,53,283
21,54,283
21,55,755
21,56,756
21,62,849
21,64,850
21,67,944
21,68,378
21,69,944
21,70,378
